Data;Produto;Quantidade;Pre�o
26/03/2024;Bolo de Festa35 Medio Ninho;1;R$ 160,00
26/03/2024;Bolo da Tarde Chocolate;1;R$ 20,00
27/03/2024;Docinhos Gourmet Napolitano cento;1;R$ 90,00
27/03/2024;Bolo da Tarde Cocada;1;R$ 20,00
27/03/2024;Docinhos Gourmet Prestigio cento;1;R$ 90,00
28/03/2024;Bolo de Festa60 Gourmet Medio (Sabores);1;R$ 230,00
01/04/2024;Bolo de Festa85 Corte  Amendoim;1;R$ 165,00
01/04/2024;Bolo de Festa35 Medio Amendoim;1;R$ 160,00
01/04/2024;Bolo da Tarde Chocolate;1;R$ 20,00
02/04/2024;Bolo de Festa40 Corte  Doce de Leite Coco;1;R$ 140,00
03/04/2024;Bolo de Festa85 Corte  Doce de Leite Coco;1;R$ 165,00
03/04/2024;Bolo de Festa25 Pequeno Cajuzinho;1;R$ 145,00
03/04/2024;Bolo da Tarde Cocada;1;R$ 20,00
03/04/2024;Bolo de Festa15 Pequeno Ninho Chocolate;1;R$ 85,00
04/04/2024;Bolo de Festa60 Corte Ninho;1;R$ 85,00
04/04/2024;Bolo da Tarde Mesclado;1;R$ 20,00
04/04/2024;KIT Adulto Festa3;1;R$ 165,00
08/04/2024;Docinhos Gourmet Sensacao cento;1;R$ 90,00
09/04/2024;Bolo de Festa40 Corte  Doce de Leite;1;R$ 140,00
09/04/2024;Bolo de Festa100 Corte Gourmet (Sabores);1;R$ 230,00
09/04/2024;Bolo de Festa15 Pequeno Doce de Leite Coco;1;R$ 85,00
10/04/2024;Cupcake (Sabores);3;R$ 18,00
13/04/2024;Cupcake (Sabores);2;R$ 12,00
15/04/2024;Bolo de Festa25 Pequeno Ninho Chocolate;1;R$ 145,00
16/04/2024;Bolo de Festa85 Corte Ninho;1;R$ 165,00
16/04/2024;Cupcake (Sabores);2;R$ 12,00
16/04/2024;Docinhos Beijinho Festa cento;1;R$ 80,00
16/04/2024;Docinhos Casadinho Festa cento;1;R$ 80,00
17/04/2024;KIT Kids Festa3;1;R$ 240,00
18/04/2024;Bolo de Festa60 Medio Ninho;1;R$ 165,00
22/04/2024;Docinhos Gourmet Moranguinho cento;1;R$ 90,00
22/04/2024;Bolo de Festa25 Pequeno Chocolate;1;R$ 145,00
22/04/2024;Docinhos Fondados Amendoim cento;1;R$ 100,00
